状元茶	配方	冰糖６０克
紫毛兜兰	科	兰科
台湾蓝鹊（台湾特有鸟类）	英文名称	Taiwan Blue Magpie
黑纹龟金花虫	中文学名	黑纹龟金花虫
波带白钩蛾	界	动物界
微裂银莲花	中文学名	微裂银莲花
麻尾雀	门	脊索动物门
短柱铁线莲	亚科	毛茛亚科
山兰（兰科树兰族植物）	命名者及年代	Lindl., 1859
花脊玉米卷管螺	中文学名	花脊玉米卷管螺
赤鲈	种	赤鲈
施勒姆海蛳螺	拉丁学名	Epitonium shyorum
硬壳柯	科	壳斗科
硬叶山兰	命名者及年代	Schltr., 1924
美国红鱼	界	动物界
白枕鹤	拉丁学名	Grus vipio
始祖鸟（已灭绝的羽毛恐龙）	二名法	Archaeopteryx lithographica
大鹿花菌	拉丁学名	Gyromitra gigad （Krombholz） Cooke
宽萼圆锥铁线莲	亚纲	原始花被亚纲
金青鸟	别称	吉打仔
玫瑰茄菊花茶	材料	玫瑰茄
柳叶苏桂	纲	双子叶植物纲
垂茎馥兰	拉丁学名	Phreatia caulescensAmes
黎巴嫩链霉菌红黄变种	颜色	气丝几无 。基丝无色
梦幻闪蝶指名亚种	属	闪蝶属
沙兰杨	中文学名	沙兰杨
阳刚芋螺	命名者及时间	Born, 1778
山紫茶	原料	山豆根1g
红艳长脚金龟	科	金龟子科
单花翠雀花	组	密花翠雀花组
卷毛蔓乌头	亚科	金莲花亚科
诃子（使君子科、诃子属乔木）	采收时间	秋、冬二季果实成熟时采收
黛比（多肉植物）	汉语拼音	daibi
大理茶	拉丁学名	Camellia taliensis
苞毛茛	界	植物界
金昌鱼	属	鲳鲹属
乳头弹头螺	中文学名	乳头弹头螺
天台铁线莲	界	植物界
黄线天蛾	属	黄线天蛾属
壁虎（爬行动物）	目	蜥蜴目
血红密孔菌	拉丁学名	Pycnoporus sanguineus
大蕊野茉莉	目	茉莉目
阔蕊兰	门	被子植物门
莞香（瑞香科常绿乔木）	分布区域	中国广东
蝙蝠（翼手目哺乳动物）	亚门	脊椎动物亚门
王绒鸭	目	雁形目
黄眉柳莺新疆亚种	科	鹟科
多花孟兰	纲	单子叶植物纲
开普狮	别称	开普敦狮
普陀山佛茶（植物）	地址	浙江省舟山群岛
碎白锯线尺蛾	形态	前翅黑褐色
石栗	亚纲	原始花被亚纲
黄腹鹿子蛾	亚门	六足亚门
石仙桃（兰科石仙桃属植物）	科	兰科
白鹡鸰新疆亚种	中文学名	白鹡鸰新疆亚种
短柱柃	拉丁学名	Eurya brevistyla Kobuski
密叶唐松草	族	唐松草族(Thalictreae Langlet)
鸾凤（汉族传说中的神鸟）	中文名	鸾凤
云南金莲花	毒性	无毒
梫星尺蛾	界	动物界
银冬茶	中文名	银冬茶
大通翠雀花	科	毛茛科
茄果类蔬菜病虫害识别与防治	开本	32开
小红衣	目	虎耳草目
拉步甲	纲	昆虫纲
花菜（蔬菜）	分类	十字花科，植物甘蓝
猴面包	中文学名	猴面包
淡绿挵蝶	纲	昆虫纲
巴西红耳龟	别称	麻将龟
丽江铁线莲	门	被子植物门
楸螟	分布区域	辽宁
翼法螺	纲	腹足纲
长足石仙桃	属	石仙桃属
长生草属	中文学名	长生草属
栎绿尺蛾	亚纲	有翅亚纲
花尾榛鸡	界	动物界
维多利亚鸟翼凤蝶	亚门	有颚亚门
维摩氏链霉菌	性质	生长中等
九芎	界	动物界
避役（爬行动物）	亚纲	双孔亚纲
多纹海蛳螺	纲	腹足纲
黄山毛尖	研制时间	1998年
狮子鱼（动物）	亚门	脊椎动物亚门
拟斑蝶蛱蛾	拉丁学名	Nossa palaearcticaStaudinger
凡俗峨螺	目	新腹足目
侧脊角胸肖叶甲	目	鞘翅目
杜鹃（杜鹃花科植物）	拉丁学名	Rhododendron simsii Planch.
兴安翠雀	属	翠雀属
粗脉石仙桃	门	被子植物门
粗茎乌头	亚属	乌头亚属
白鹭（白鹭属鸟类的统称）	亚纲	今鸟亚纲
棘刺蟹守螺	中文学名	棘刺蟹守螺
台湾铁甲虫	目	鞘翅目
巴克莱骨螺	界	动物界
斑纹犁头鳐	界	动物界
短柱柃	中文学名	短柱柃
短距风兰	科	兰科
天鹅（鸭科雁族鸟类）	族	雁族
I-Worm/Kipis.b	外文名	I-Worm/Kipis.b
密花兜被兰	命名者及年代	Schltr., 1924
心唇沼兰	拉丁学名	Malaxis ramosii Ames
蜂蜜水果茶	主要原料	蜂蜜
大型猫科动物	书名	大型猫科动物
冕鵖	英文名称	Capped Wheatear
日本狼青犬	种	灰狼
绿色蔬菜	许可标示	绿色食品标志
扁果毛茛	科	毛茛科(Ranunculaceae)
褐毛铁线莲	纲	双子叶植物纲
梫星尺蛾	科	尺蛾科
燕子（燕科鸟类统称）	别称	观音燕
二十八星瓢虫	纲	昆虫纲
匙苞翠雀花	目	毛茛目
大金星尺蛾	科	尺蛾科
黑线鳕	目	鳕形目
桢楠树	种	桢楠树
山东银莲花	亚纲	原始花被亚纲
金黄硬皮马勃	分布区域	香港
干香柏	别称	冲天柏
巴拉斯特海蛳螺	纲	腹足纲
半环华花天牛	亚纲	有翅亚纲
宽毛胫夜蛾	目	鳞翅目
青梅（龙脑香科、青梅属乔木）	命名者及年代	Blanco
中华倒刺鲃	亚纲	辐鳍鱼亚纲
鸣禽亚目	属	851属
丛片韧革菌	中文学名	丛片韧革菌
看图识字三字歌（蔬菜）	出版社	未来出版社
槽舌兰	纲	木兰纲（被子植物纲）
喀尔多尼亚山猫宝螺	界	动物界
垂茉莉	属	大青属
蓝魔鬼（雀鲷科鱼类）	科	雀鲷科
红尾鵖	目	雀形目
短耳鸢尾兰	目	微子目
阴地银莲花	科	毛茛科
镰苞鹅耳枥	拉丁学名	Carpinus tschonoskii Maxim. var. falcatibracteata (Hu)
悲疽夜蛾	亚属	无
鹪鹩（鹪鹩科鸟类）	科	鹪鹩科
沼泽山雀	别称	泥泽山雀
短梗山兰	中文学名	短梗山兰
vanilla（植物香草）	命名者及年代	(Salisb.) Ames
霜霉科	界	原生生物界
白尾热带鸟台湾亚种	纲	鸟纲
狭叶耳唇兰	种	Otochilus fuscus Lindl.
红绿灯（热带鱼类名称）	中文学名	红绿灯鱼
小壳囊孢	科	壳霉科
三角叶黄连	科	毛茛科
索马里中华宝螺	拉丁学名	Cypraea chinensis somaliana
布鲁菌属	属	布鲁菌属
二白点粉金龟甲	界	动物界
白花耳唇兰	拉丁学名	Otochilus albus Lindl.
雪龙（一种鱼类）	别称	银龙的白化品种
迷你伯瑞犬	界	动物界
大斑啄木鸟西北亚种	门	脊索动物门
黑守瓜	种	黑守瓜
羊毛杜鹃	命名者及年代	Balf. f. et K. Ward, 1917
食人鲳	中文学名	食人鱼（也称食人鲳）
赤细菌属	拉丁学名	Erythrobacter Shiba and Simidu，1982
缎带宝螺	界	动物界
小窗龟金花虫	中文学名	小窗龟金花虫
槽舌兰	门	木贼门（有胚植物门）
黄松盆距兰	中文学名	黄松盆距兰
错那乌头	界	植物界
榴莲（热带著名水果之一）	亚纲	五桠果亚纲
加拿大糖槭	别称	糖槭
强壮红点鲑	纲	鱼纲
米团花	分布区域	海拔1000—1900米
花带芋螺	拉丁学名	Conus coccineus
塞浦路斯闪蝶	族	闪蝶族
柠檬黄蜡伞	亚门	担子菌亚门
猎豹（猫科动物）	命名者及年代	Schreber, 1775
厚壳钟螺	中文学名	厚壳钟螺
马岛鸭	英文名称	Bernier's Teal
雷波铁线莲	纲	双子叶植物纲
Trojan/Agent.bsp	外文名	Trojan/Agent.bsp
云南松黄毒蛾	亚纲	有翅亚纲
伊丽莎白开普墩宝螺	中文学名	伊丽莎白开普墩宝螺
棕角胸叶甲	纲	昆虫纲
大红鹳	别名	大火烈鸟
名和蝉寄蛾	属	Epipomponia
“代理木马”变种pne	影响平台	2000
三出银莲花	族	银莲花族
豆角	亚目	蔷薇亚目
金橘红茶	主要食用功效	解郁
家燕	拉丁学名	Hirundo rustica
橙黄鸢尾兰	界	植物界
三带拟厚花天牛	亚科	花天牛亚科
王鱼（心灵鸡汤中的虚拟鱼类）	属性	水里的王鱼
祁连山乌头	科	毛茛科
台湾萤斑蛾	目	鳞翅目
毛魔目夜蛾	目	鳞翅目
甘薯绮夜蛾	中文学名	甘薯绮夜蛾
菜（蔬菜）	种类	十字花科类，绿叶类，葱蒜类等
羊毛杜鹃	门	被子植物门
鲸头鹳	目	鹳形目
台湾毛茛	亚科	毛茛亚科
模里西斯织纹螺	门	软体动物门
太湖新银鱼	界	动物界
二白点粉金龟甲	门	节肢动物门
细胞分化	分化特点	不可逆
草狗	亚门	脊椎动物亚门
花蜘蛛兰	门	被子植物门
伪锯花天牛	门	节肢动物门
灰冥尺蛾	科	尺蛾科
威玛猎犬	现在用途	伴侣
祝蛾科	亚门	六足亚门
细天麻	亚科	兰亚科
石豆毛兰	拉丁学名	Eria thao Gagnep.
黑点丫纹夜蛾	目	鳞翅目
PE.EXE	获取	不能直接引用动态链接库
紫金鹊	体长	雄性174一176毫米，雌性179毫米
羊毛杜鹃	种	羊毛杜鹃
沼泽山雀	纲	鸟纲
长丝鲈	纲	硬骨鱼纲
显苞乌头	界	植物界
虎皮猫（虎皮猫（种类））	分布区域	全球
大花阔蕊兰	科	兰科
小毛兰	属	毛兰属
侧脊角胸肖叶甲	亚门	六足亚门
海鲈鱼	种	鲈鱼
云南松黄毒蛾	分布区域	云南（玉溪），广西（龙胜），湖南(湘西)
雷波铁线莲	目	毛茛目
无翼鸟科	亚纲	今鸟亚纲Neornithes
酸梅	纲	双子叶植物纲
角龙（鸟臀类恐龙）	属	角龙属
毛果甘青乌头	属	乌头属
Worm.Anig.e	中文名	阿泥哥
钻柱兰	门	被子植物门
青梅（龙脑香科、青梅属乔木）	界	植物界
十齿花科	种	十齿花
迷你雪纳瑞犬（雪纳瑞犬品种）	分布区域	德国
达尺蛾	属	达尺蛾属
红假单胞菌属	中文学名	红假单胞菌属
大花鹤顶兰	科	兰科
狭裂太行铁线莲	科	毛茛科
长须阔蕊兰	种	长须阔蕊兰
飞龙鸟	界	动物界
长喙唐松草	门	被子植物门
麻桐树	属	山黄麻属
光樟肖叶甲	目	鞘翅目
肉毒杆菌毒素	不良反应	头痛
白色黄斑荫蝶	中文学名	白色黄斑荫蝶
首乌芍茶	出处	传统药茶方
大牙土天牛	门	节肢动物门
黄豆芽炒猪血	主要食材	黄豆芽
清姬（多肉植物）	属	肉锥属
游隼	目	隼形目
小丑鱼（鲈形目雀鲷科海葵亚科鱼类俗称）	亚纲	辐鳍鱼亚纲
豆类豆天蛾	分布区域	除西藏末见外，其他各省区均有发生。
金色葡萄球菌	拉丁学名	(Staphyloccocus aureus Rosenbach
朝氏薄翅金花虫	目	鞘翅目
短柱铁线莲	科	毛茛科
勒氏弯嘴嘲鸫	中文学名	勒氏弯嘴嘲鸫
天全银莲花	族	银莲花族
TrojanDownloader.Agent.gke	外文名	TrojanDownloader.Agent.gke
花台卷管螺	中文学名	花台卷管螺
无距保山乌头	亚科	金莲花亚科
蓠边粘褶菌	中文学名	蓠边粘褶菌
代理蠕虫变种SL	警惕程度	三星
岳西翠尖	中文名	岳西翠尖
木贼金花虫	界	动物界
湿唇兰	科	兰科
乳酸菌	纲	芽孢杆菌纲 Bacilli
小叶兜兰	中文学名	小叶兜兰
拉氏片花耳	生长环境	在阔叶树朽木上生
弯果乌头	系	蔓乌头系
毛叶铁线莲	纲	双子叶植物纲 Dicotyledoneae
药用拟层孔菌	科	多孔菌科
柠檬黄金钱菌	目	伞菌目
多点舟蛾	亚门	六足亚门
阴生红门兰	族	兰族
锯吻剃刀鱼	亚纲	辐鳍鱼纲
香花毛兰	亚科	兰亚科
小栓菌	纲	层菌纲Hymenomycetes
滇南盆距兰	目	微子目
冷杉囊孔菌	拉丁学名	Hirschioporus abietinus (Dicks.: Fr.) Dank
苹眉夜蛾	别称	苹果褄切厚羽
双斑栉齿刺尾鱼	亚目	刺尾鱼亚目
Win32.Troj.Lmir.be	病毒类型	木马
王绒鸭	中文学名	王绒鸭
大孢地花菌	分布区域	中国四川以及前苏联及西欧国家。
白胸苦恶鸟指名亚种	界	动物界
褐背拟地鸦	种	褐背拟地鸦
棕丝芋螺	界	动物界
黄花（词语释义）	界	植物界
黑灵芝（真菌）	中文学名	黑灵芝
绒毛叶轮木	纲	双子叶植物纲
华东唐松草	族	唐松草族
小粗齿蛹笔螺	目	新腹足目
大余小白巢蛾	种	大余小白巢蛾
纹枯病	主要危害作物	水稻
长背小鳔鮈	亚目	鲤亚目
夜鹭（鹭科夜鹭属鸟类）	别称	灰洼子
长笋蟹守螺	别称	长简锉棒螺
运动发酵单胞菌	中文学名	运动发酵单胞菌
显脉鸢尾兰	中文学名	显脉鸢尾兰
蜂蜜绿茶饮	中文名	蜂蜜绿茶饮
台湾左旋芝麻蜗牛	界	动物界
拟弯距翠雀花	族	翠雀族
常绿乔木	分布区域	全国各个地区均有种植
小齿铁线莲	门	被子植物门
虎鲨（卵胎生动物）	属	虎鲨属
黄胸鹀	中文学名	黄胸鹀
鳇鱼	拉丁学名	Huso dauricus
锐裂箭头唐松草	属	唐松草属
青岗栎	拉丁学名	Cyclobalanopsis glauca (Thunb.) Oerst.
棕眉柳莺指名亚种	科	鹟科
白杨枯叶蛾	分布区域	朝鲜
奥氏蜜环菌	纲	伞菌纲
莱姆伯芋螺	中文学名	莱姆伯芋螺
白芦笋炒虾仁	主要食材	泡发木耳
蛤蚧（陆栖爬行动物）	常用部位	全体
Win32.Hack.Heidong2004s	病毒类型	黑客程序
细鳞鲴	分布区域	黑龙江、长江、珠江等水系及东南沿海各溪流。
毛叶高山唐松草	目	毛莨目
豹鳎	纲	辐鳍鱼纲
短尾	亚门	脊椎动物亚门
淡水鳗	门	脊索动物门
小叶红光树	属	红光树(争光木)属
低盔大渡乌头	亚属	乌头亚属
索马里中华宝螺	中文学名	索马里中华宝螺
美神闪蝶	纲	昆虫纲
栎黄掌舟蛾	亚门	六足亚门
独夜蛾	科	夜蛾科
三斑长尾花天牛	界	动物界
台毛果铁线莲	科	毛茛科
TrojanDownloader.Small.hng	影响平台	Win 9X/ME/NT/2000/XP/2003
阿拉斯加雪橇犬	外文名称	Alaskan Malamute
南湖毛茛	中文学名	南湖毛茛
金虎（猫科动物）	纲	哺乳纲
文旦（芸香科常绿乔木植物）	别名	文旦
斑头鸭	目	雁形目
心唇沼兰	属	沼兰属
西南桤木	产地	中国西南部
台湾波纹蛇目蝶	科	蛱蝶科
福建驼花天牛	亚纲	有翅亚纲
似褐足角胸肖叶甲	目	鞘翅目
兰科	亚纲	百合亚纲
燕子（燕科鸟类统称）	种类	楼燕
斧木纹尺蛾	属	Plagodis
无花果天牛	目	鞘翅目
板栗饼	主要营养成分	铁
毛叶杯状栲	别称	毛叶杯锥 毛叶杯栲
蔬食蛇床柄锈菌	中文学名	蔬食蛇床柄锈菌
南海玉米卷管螺	中文名	南海玉米卷管螺
Adware/Clicker.tc	中文名	“鞋匠”变种tc
桃（蔷薇科桃属植物）	种	桃
锯带翠蛱蝶	门	节肢动物门
短柱铁线莲	属	铁线莲属
祁门功夫红茶	词性	名词
红衣夜蛾	拉丁学名	Clethrophora distinctaLeech
中国大型真菌	使用群体	菌物学、生命科学、学生参考
硬叶兜兰	种	硬叶兜兰
裂苞鹅掌草	亚科	毛茛亚科
雅织峨螺	中文学名	雅织峨螺
宽叶红门兰	命名者及年代	L., 1753
Trojan/Agent.bsp	病毒长度	128000字节
林八哥	属	八哥属
妞妞（微博知名宠物狗）	昵称	羊
台湾深山锹形虫	分布区域	福建
状元茶	功效	补脾开胃
金凤鸟	亚门	脊椎动物亚门
黑头林鵙鹟	科	啸鹟科Pachycephalidae
香椿花	目	蔷薇目(Rosales)
海洋巨型病毒	中文学名	海洋巨型病毒
椰香咖喱蔬菜	主料	花菜
大余小白巢蛾	纲	昆虫纲
北美红栎	命名者	Line.
黑苇鳽	分布区域	印度
长尾鲨属	目	鼠鲨目
蓝燕（雀形目燕科鸟类）	中文学名	蓝燕
广西茶	亚纲	原始花被亚纲
大拟叩头虫	中文学名	大拟叩头虫
秋天麻	属	天麻属
扁果草	种	扁果草
白网灯蛾	中文学名	白网灯蛾
半钟铁线莲	纲	双子叶植物纲
帝汶林鵖	界	动物界
黑边公子小丑	亚门	脊椎动物亚门
短鼻雀鳝	中文学名	短鼻雀鳝
小红衣	命名者	Al Waltemeyer
竹荪	属	竹荪属(Dictyophora)
光叶珙桐	科	蓝果树科 Nyssaceae
酸梅	种	乌梅
褐紫乌头	种	褐紫乌头
小体鲟	种	小体鲟
铺散毛茛	纲	双子叶植物纲(Magnoliopsida)
机警的花园陶俑	类别	小说
血叶兰	界	植物界
白霜鸟尾蛤	别称	光芒鸟尾蛤
苔草柄锈菌	分布区域	北温带广布
红花斑叶兰	界	植物界
金娃娃（海江洄游性的温水性底栖鱼类）	分布区域	缅甸
中花1号	性质	，从定植到收获55天左右
彩鹦鹉	目	鹦形目
金毛铁线莲	种	金毛铁线莲
长尾阔嘴鸟	英文名称	Long-tailed Broadbill
双带缟鰕虎	科	鰕虎科  Gobiidae
双白毛漆尺蛾指名亚种	科	尺蛾科
西藏阔蕊兰	别称	台湾鹭草
黄褐暗水螟	界	动物界
粉蓝闪夜蛾	中文学名	粉蓝闪夜蛾
油松球果小卷蛾	目	鳞翅目
四纹长脚金龟	门	脊索动物门
巨骨舌鱼	别称	海象鱼、象鱼、大头巨骨舌鱼，军舰龙，巨龙
盾叶铁线莲	目	毛茛目 Ranales
暗脉弄蝶	中文名	暗脉弄蝶
矮毛法螺	属	梭法螺属
斜纹夜蛾	目	鳞翅目
莞香（瑞香科常绿乔木）	分布区域	海南
克伦勃猎犬	纲	哺乳
茶长卷叶蛾	分布区域	福建
短距槽舌兰	命名者及年代	Z. H. Tsi, 1982
瓦山栲	科	壳斗科
摇摆蟹守螺	界	动物界
小灰粉尺蛾	种	小灰粉尺蛾
纹猫	习性	夜间活动，擅长爬树
低盔膝瓣乌头	分布区域	产我国云南省东北部
大王酸浆鱿	别称	中爪巨鱿，巨枪乌贼，大王酸浆乌贼，英文：Colossal squid
川鄂獐耳细辛	命名者及年代	(Oliv.) Steward, 1927
欧洲银莲花	门	被子植物门
匍茎毛兰	种	匍茎毛兰
高蓝侧金盏花	亚科	毛茛亚科
西伯利亚虎（猫科动物）	同义学名	Panthera tigris longipilis
脊鞘粗角跳甲	目	鞘翅目
长足角胸肖叶甲	属	角胸肖叶甲属
闺秀芋螺	中文学名	闺秀芋螺
毒红菇	目	伞菌目(Agaricales)
盒状嗜盐细菌	分布区域	死海
黑纹蜡野螟	界	动物界
半开羊肚菌	分布区域	甘肃等
匙苞翠雀花	门	被子植物门
宽叶厚唇兰	界	植物界
似瘤突角胸肖叶甲	中文学名	似瘤突角胸肖叶甲
淡斑蟹守螺	目	中腹足目
橄绿歧角螟	目	鳞翅目
高山鸟巢兰	拉丁学名	Neottia listeroides Lindl.
深裂沼兰	拉丁学名	Malaxis purpurea (Lindl.) Kuntze
黑苇鳽	目	鹳形目
肖韶子	别称	山荔枝
绿宝树	分布区域	海南
云南石梓	界	植物界
纹猫	门	脊索动物门
木里乌头	中文学名	木里乌头
胧月（景天科植物名称）	拉丁学名	Graptopetalum paraguayense ssp. paragrayense (N. E. Br.) Walth.
豆天蛾	科	天蛾科
朱鹭	种	朱鹮
兰科	拉丁学名	Orchidaceae Juss.
贝氏高原鳅	中文学名	贝氏高原鳅
麻鸭属	科	鸭科
毛果高乌头	族	翠雀族
菊花金银花茶	外文名称	Chrysanthemum gold andsilver scented tea
鞍唇沼兰	目	微子目
凤蝶兰	目	微子目
墨脱沟臀肖叶甲	分布区域	西藏
竹荪	别名	长裙竹荪
厚叶铁线莲	中文学名	厚叶铁线莲
海南脊蛇	目	有鳞目
单叶厚唇兰	属	厚唇兰属
瀑布闪蝶	亚科	闪蝶亚科
灰眶雀鹛指名亚种	亚种	灰眶雀鹛指名亚种
海南栲	二名法	Castanopsis hainanensis
杀青茶	工艺	高温
坦氏刺尾鱼	科	刺尾鲷科
紫双点螟	亚门	有颚亚门
冬孢菌纲	门	真菌门
云南独蒜兰	门	被子植物门
紫褐羊肚菌	科	羊肚菌科
杂种鹅掌楸	种	鹅掌楸
霸王龙（已灭绝的白垩纪晚期爬行动物）	拉丁学名	Tyrannosaurus
钻夜蛾	属	钻夜蛾属
鮟鱇	别称	琵琶鱼
紫线黄舟蛾	纲	昆虫纲
滇川翠雀花	别名	细草乌、鸡足草乌（云南）
黑灵芝（真菌）	亚纲	同担子菌亚纲
西伯利亚虎（猫科动物）	亚门	脊椎动物亚门
今非昔比鮟鱇鱼	亚门	脊椎动物亚门
鬼鲉	分布区域	朝鲜及日本本州中部以南各近海内，福建，广东北海；
颗粒角胸肖叶甲	亚目	肉食亚目
豆天蛾	属	豆天蛾属
银鱼（动物）	别称	白饭鱼
黄头侧颈龟	IUCN保护级别	VU
TrojanProxy.Wopla.v	病毒长度	变长
长足角胸肖叶甲	亚纲	有翅亚纲
蛇舌兰	纲	单子叶植物纲
剑龙（侏罗纪晚期食草性四足恐龙）	域	真核生物域
双龙银针	中文名	双龙银针
乌鸦（雀形目鸦科鸟类）	目	雀形目
粉口兰	种	粉口兰
甘薯蠹野螟	中文学名	甘薯蠹野螟
光臀八齿小蠹	分布区域	云南
大花斑叶兰	种	大花斑叶兰
贡山舌唇兰	命名者及年代	K. Inoue, 1986
红白毛杯菌	科	盘菌科
大绿异丽金龟	目	鞘翅目
毛窄叶柃	界	植物界
粗壮角萼翠雀花	拉丁学名	Delphiniumceratophorum var.robustum
贫瘠马杜拉放线菌	类型	尼日利亚菌素类群细菌
雪莲（景天科石莲花属多肉植物）	目	蔷薇目
黄草地螟	亚门	六足亚门
黑灵芝（真菌）	分布区域	中国（海南）广西
红叶野茉莉	分布区域	云南东北部
休宁松萝	主要原料	茶叶
彩叶桢	拉丁学名	Ligustrum fugatur
斑头鸭	亚种	4亚种
沙鸥（鸥科鸟类）	种类	海鸥
中黑小瓢虫	科	瓢甲科
郭胜枝宝螺	拉丁学名	Palmulacypraea katsuae guidoi
膜叶木瓜红	科	安息香科
英国短毛猫	亚门	脊椎动物亚门
长背小鳔鮈	种	长背小鳔鮈
褐座刺球菌	中文学名	褐座刺球菌
苹果蠧蛾	分布区域	印度
永远在一起（我曾有一只名叫阿丑的狗）	页数	224
李壳二孢	拉丁纲名	Fungi Imperficti
台湾孟兰	种	台湾孟兰
鲨鱼（海洋中的鱼类之一）	拉丁学名	Shark(s)
白鹭（白鹭属鸟类的统称）	亚门	脊椎动物亚门
斑龙（恐龙名称）	拉丁学名	Megalosaurus
平基槭	目	无患子目
白叶枯病	病原类型	真细菌
桃（蔷薇科桃属植物）	纲	双子叶植物纲
古北宝螺	英文名称	Cape of Good Hope Cowrie
玫瑰香红茶	是否含防腐剂	否
图书变种D	警惕程度	★★★☆
布纹织纹螺	中文学名	布纹织纹螺
黑千手螺	门	软体动物门
两点锯锹形虫	纲	昆虫纲
大叶五室柃	分布区域	贵州
木通滑石茶	原料	滑石3g
雀鳝鱼	拉丁学名	Lepidosteus platystomus
富贵树	中文学名	富贵树
胁骨龙	特点	行动比较缓慢
细天麻	属	天麻属
陕西细花天牛	亚科	花天牛亚科
大牙土天牛	科	天牛科
雷龙（迷惑龙属恐龙）	界	动物界
雪梨（水果名称）	纲	双子叶植物纲 Dicotyledoneae
粗唇高原鳅	属	高原鳅属
软帽峨螺	界	动物界
馥兰	门	被子植物门
渔猫	界	动物界
长身鮈鰕虎鱼	饲养适宜水温	18-26℃
阿里山小灰蛱蝶	界	动物界
Adware/NewWeb.ad	外文名	Adware/NewWeb.ad
猴面包	目	锦葵目 Malvales
珠芽唐松草	中文学名	珠芽唐松草
川鄂唐松草	亚纲	原始花被亚纲
扁果毛茛	拉丁学名	Ranunculus regelianus Ovcz.
藤槭	界	植物界
三日月（叶茶壶）	出产地	中国
肿节石斛	属	石斛属
桂樱	种	桂樱
红宝石卷管螺	中文学名	红宝石卷管螺
沙棘（胡颓子科沙棘属植物）	中文学名	沙棘
西非玛瑙宝螺	英文名称	Agate Cowrie
黄桃（蔷薇科桃属水果）	科	蔷薇科
鬼鲉	亚目	杜父鱼亚目 Cottoidei
笑翠鸟（鸟纲翠鸟科鸟类）	界	动物界
苹眉夜蛾	中文学名	苹眉夜蛾
乌鶲	界	动物界
忘忧花	纲	双子叶植物纲
毒滑锈伞	种	毒滑锈伞
滇西槽舌兰	纲	单子叶植物纲
迷你伯瑞犬	外文名称	Briard
多核细胞	又名	多核体
姬目眼蝶	界	动物界
无茎盆距兰	纲	单子叶植物纲
花葶乌闲	目	毛莨目(Ranunculales )
白网灯蛾	亚纲	有翅亚纲
鳗鲡	界	动物界
免疫细胞	免疫器官	淋巴结
地雷宝螺	纲	腹足纲
雅丽步甲	目	鞘翅目
东方斑鵖	拉丁学名	Oenanthe picata
奥氏蜜环菌	界	真菌界
火炬兰	族	万代兰族
文旦（芸香科常绿乔木植物）	别名	碌柚
鲸头鹳	门	脊索动物门
瑟鲁宝螺	目	中腹足目
锡兰莲	拉丁学名	Naravelia zeylanica (Linn.) DC.
番茄丛矮病毒病	病害类型	病毒
淡水鳗	科	鳗鲡科
灰眶雀鹛湖北亚种	中文学名	灰眶雀鹛湖北亚种
渔猫	别称	钓鱼猫
蝶翅海螺	中文学名	蝶翅海螺
雪花芋螺	拉丁学名	Turriconus nakayasui
荆金茶	中文名	荆金茶
相思鸟（鸟类）	纲	鸟纲
Backdoor/Wootbot.af	病毒长度	变长
瘤肩卷管螺	门	软体动物门
四川驼花天牛	属	驼花天牛属
排孢游动单孢菌抗生变种	中文学名	排孢游动单孢菌抗生变种
白玉春（早熟春萝卜品种）	中文学名	白玉春
乌枣	门	被子植物门 Angiospermae
干香柏	科	柏科
黑千手螺	中文学名	黑千手螺
紫菀壳二孢	纲	半知菌纲
峭脊角胸肖叶甲	亚纲	有翅亚纲
葡糖杆菌属	最适生长温度	25～30℃；
大花斑叶兰	别称	长花斑叶兰
娇小蛹笔螺	拉丁学名	Thala milium
粗裂宽距翠雀花	属	翠雀属
浅藤黄链霉菌	分类	--细菌--放线菌
五唇兰	亚科	兰亚科
大蒜拌茄泥	主要食用功效	调中止痢，降胆固醇，降血压，利尿
大褐象鼻虫	中文学名	大褐象鼻虫
野鸡（学名phasianidae雉科）	属	雉属
莓叶铁线莲	界	植物界
渔猫	科	猫科
板鳃	拼音	Ban Sai
干草小多孢菌	目	放线菌目
甜瓜果腐病	病害类型	真菌
台湾黑星小灰蝶	拉丁学名	Megisba malaya
德川（动漫《奇迹列车》里的狗）	简介	《奇迹列车》里的一只狗
温达	出生地	满洲镶黄旗
红花斑叶兰	目	微子目
尖药兰	中文学名	尖药兰
珍珠马甲	别称	蕾丝丽丽
珍珠马甲	英文名称	Trichogaster Seeri
孔雀鱼	属	花鳉属
沉静舒眠茶	茶材	洋甘菊
厚嘴绿鸠	目	鸽形目
绿桔天牛	门	节肢动物门
普洱玫瑰奶茶	主要原料	玫瑰
宽萼圆锥铁线莲	中文学名	宽萼圆锥铁线莲
网鞘毛兰	界	植物界
十姊妹（燕雀目金腹科鸟类）	属于	杂交产生的新品种
棘托竹荪	中文学名	棘托竹荪
棉毛茛	中文学名	棉毛茛
齿鲸	界	动物界
达利氏芋螺	纲	腹足纲
避役（爬行动物）	界	动物界
三角叶黄连	亚纲	原始花被亚纲
展枝康定乌头	门	被子植物门
鸢尾兰	门	被子植物门
巨苞岩乌头	亚科	金莲花亚科
双齿角胸肖叶甲	属	角胸肖叶甲属
长足石仙桃	拉丁学名	Pholidota longipes S. C. Chen et Z. H. Tsi.
双斑草雀	纲	鸟纲
橘子（水果）	科	芸香科 Rutaceae
